degree,specialization,cgpa,skills,certifications,job_role
B.Tech,Computer Science,8.2,"Python,Java,SQL","AWS,Python",Software Engineer
B.Tech,Computer Science,7.8,"Java,Spring,SQL","Oracle Java",Backend Developer
B.Tech,Computer Science,8.5,"Python,Django,REST","AWS,Django",Software Engineer
B.Tech,Information Technology,7.2,"HTML,CSS,JavaScript","Web Development",Frontend Developer
B.Tech,Information Technology,8.0,"React,JavaScript,Node","React",Frontend Developer
B.Tech,Information Technology,7.6,"Node,Express,MongoDB","MongoDB",Full Stack Developer
B.Tech,Data Science,8.4,"Python,ML,Statistics","IBM Data Science",Data Analyst
B.Tech,Data Science,7.9,"Python,Pandas,SQL","Google Data Analytics",Data Analyst
B.Tech,Artificial Intelligence,8.6,"Python,Deep Learning,TensorFlow","AI Certification",ML Engineer
B.Tech,Artificial Intelligence,8.1,"Python,ML,TensorFlow","TensorFlow",ML Engineer

MCA,Computer Science,7.5,"Python,Java,SQL","AWS",Software Engineer
MCA,Computer Science,8.0,"Java,Spring Boot,Microservices","Spring Boot",Backend Developer
MCA,Computer Applications,7.2,"HTML,CSS,JavaScript","Web Design",Frontend Developer
MCA,Computer Applications,8.3,"React,Node,MongoDB","Full Stack",Full Stack Developer
MCA,Data Science,7.6,"Python,ML,SQL","Google Data Analytics",Data Analyst
MCA,Data Science,8.4,"Python,Deep Learning","Deep Learning",ML Engineer
MCA,Information Systems,7.1,"SQL,Power BI,Excel","Power BI",Business Analyst
MCA,Information Systems,7.9,"Python,Tableau","Tableau",Data Analyst
MCA,AI & ML,8.7,"Python,TensorFlow,ML","AI Certification",ML Engineer
MCA,AI & ML,8.1,"Python,PyTorch,Deep Learning","PyTorch",ML Engineer

B.Sc,Computer Science,6.8,"HTML,CSS","Web Basics",Web Developer
B.Sc,Computer Science,7.3,"Python,SQL","Python",Junior Software Engineer
B.Sc,Computer Science,7.9,"Java,OOPS","Java",Software Engineer
B.Sc,Information Technology,6.9,"HTML,CSS,JavaScript","Web Development",Frontend Developer
B.Sc,Information Technology,7.4,"JavaScript,React","React",Frontend Developer
B.Sc,Information Technology,7.8,"Node,MongoDB","MongoDB",Backend Developer
B.Sc,Data Science,7.2,"Python,Statistics","Data Science",Data Analyst
B.Sc,Data Science,7.6,"Python,Pandas,SQL","IBM Data Science",Data Analyst
B.Sc,AI,8.0,"Python,ML","ML Certification",ML Engineer
B.Sc,AI,7.5,"Python,TensorFlow","TensorFlow",ML Engineer

B.Tech,Computer Science,6.9,"C,Java","C Programming",Support Engineer
B.Tech,Computer Science,7.1,"Python,SQL","Python",Junior Developer
B.Tech,Information Technology,6.8,"Networking,Linux","CCNA",Network Engineer
B.Tech,Information Technology,7.4,"Linux,Shell Scripting","Linux",System Administrator
B.Tech,Cyber Security,8.2,"Networking,Ethical Hacking","CEH",Cyber Security Analyst
B.Tech,Cyber Security,7.7,"Python,Security","Cyber Security",Security Analyst

MCA,Computer Science,6.9,"Testing,Manual Testing","ISTQB",Software Tester
MCA,Computer Science,7.4,"Automation,Selenium,Java","Selenium",Automation Tester
MCA,Information Technology,7.0,"Networking,Linux","Linux",System Engineer
MCA,Information Technology,7.8,"Cloud,AWS","AWS",Cloud Engineer
MCA,Cloud Computing,8.3,"AWS,DevOps,Docker","AWS DevOps",DevOps Engineer
MCA,Cloud Computing,7.6,"Azure,CI/CD","Azure",Cloud Engineer

B.Sc,Computer Science,6.5,"Data Entry,MS Excel","Office Tools",Data Entry Operator
B.Sc,Computer Science,7.0,"Python,Basics","Python",Junior Analyst
B.Sc,Information Technology,6.7,"Support,Hardware","IT Support",IT Support Engineer
B.Sc,Information Technology,7.2,"Linux,Networking","Linux",System Support
B.Sc,Data Science,7.8,"Python,Visualization","Tableau",Data Analyst

B.Tech,Mechanical Engineering,7.0,"AutoCAD,Design","AutoCAD",Design Engineer
B.Tech,Electrical Engineering,7.2,"PLC,SCADA","PLC",Electrical Engineer
B.Tech,Civil Engineering,7.1,"AutoCAD,Estimation","AutoCAD",Civil Engineer

MCA,Computer Science,8.5,"Python,Flask,ML","ML Deployment",ML Engineer
MCA,Data Science,8.6,"Python,Big Data,Spark","Big Data",Data Engineer
MCA,Computer Applications,7.9,"React,Flask","Full Stack",Full Stack Developer

B.Sc,Computer Science,7.5,"Python,Flask","Web Development",Web Developer
B.Sc,Computer Science,8.1,"Python,Django","Django",Backend Developer
B.Sc,Information Technology,7.8,"React,API","React",Frontend Developer
